,Model,precision_score,recall_score,f1_score,roc_auc_score,accuracy_score
0,ANN,0.6575342465753424,0.5714285714285714,0.6114649681528662,0.7460691823899371,0.6789473684210526
1,AveragingANN,0.6933333333333334,0.6190476190476191,0.6540880503144655,0.7502246181491464,0.7105263157894737
2,RNN,0.6301369863013698,0.5476190476190477,0.5859872611464968,0.7024932614555256,0.6578947368421053
3,AveragingRNN,0.6666666666666666,0.5952380952380952,0.6289308176100629,0.7357367475292003,0.6894736842105263
4,LargeNeuralNetworkAveragingClassifier,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.7446091644204852,0.6842105263157895
