,Model,precision_score,recall_score,f1_score,roc_auc_score,accuracy_score
0,RandomForestClassifier,0.6233766233766234,0.5714285714285714,0.5962732919254659,0.7039532794249775,0.6578947368421053
1,AveragingRandomForestClassifier,0.6164383561643836,0.5357142857142857,0.5732484076433121,0.7063117699910153,0.6473684210526316
2,AdaBoostClassifier,0.6463414634146342,0.6309523809523809,0.6385542168674698,0.7475292003593891,0.6842105263157895
3,AveragingAdaBoostClassifier,0.6329113924050633,0.5952380952380952,0.6134969325153375,0.7334905660377358,0.6684210526315789
4,XGBClassifier,0.6764705882352942,0.5476190476190477,0.605263157894737,0.7526954177897573,0.6842105263157895
5,AveragingXGBClassifier,0.6329113924050633,0.5952380952380952,0.6134969325153375,0.7437106918238994,0.6684210526315789
6,CatBoostClassifier,0.6375,0.6071428571428571,0.6219512195121951,0.7400044923629829,0.6736842105263158
7,AveragingCatBoostClassifier,0.6282051282051282,0.5833333333333334,0.6049382716049383,0.7442722371967655,0.6631578947368421
8,TreeModelsAveragingClassifier,0.64,0.5714285714285714,0.6037735849056605,0.7382075471698113,0.6684210526315789
9,LargeTreeModelsAveragingClassifier,0.6447368421052632,0.5833333333333334,0.6125,0.7353998203054806,0.6736842105263158
