,Model,precision_score,recall_score,f1_score,roc_auc_score,accuracy_score
0,AveragingAllModelsClassifier,0.6309523809523809,0.6309523809523809,0.6309523809523809,0.7405660377358492,0.6736842105263158
1,LargeAveragingAllModelsClassifier,0.6333333333333333,0.6785714285714286,0.6551724137931035,0.7392183288409704,0.6842105263157895
2,StackClassifier,0.6986301369863014,0.6071428571428571,0.6496815286624203,0.7596585804132974,0.7105263157894737
3,LargeStackClassifier,0.6506024096385542,0.6428571428571429,0.6467065868263473,0.7491015274034142,0.6894736842105263
