iter	Logloss
0	0.6883444336
1	0.6833208281
2	0.679085674
3	0.6747423962
4	0.6711341778
5	0.6679934548
6	0.6652021236
7	0.6620078272
8	0.6591119159
9	0.6565571952
10	0.6534861679
11	0.6509770305
12	0.648721382
13	0.6461982337
14	0.6432718187
15	0.6415547897
16	0.6389344506
17	0.6366135103
18	0.6344375546
19	0.6323483135
20	0.630658051
21	0.6288746417
22	0.6270729986
23	0.6250041732
24	0.6231887585
25	0.621637472
26	0.620349702
27	0.6185058278
28	0.6169683305
29	0.6158791214
30	0.6142729821
31	0.6126863278
32	0.611438801
33	0.6103718535
34	0.6089066741
35	0.6078036601
36	0.6068192684
37	0.6056279153
38	0.6048884356
39	0.6040255075
40	0.6028604821
41	0.6020655455
42	0.601155366
43	0.5999830972
44	0.5989557891
45	0.598183093
46	0.5975798903
47	0.596841407
48	0.5959314112
49	0.5949568247
50	0.5941553563
51	0.5933032884
52	0.5922745408
53	0.5917337535
54	0.5910066112
55	0.5904232226
56	0.5896551148
57	0.5891348568
58	0.5884763937
59	0.5879582173
60	0.5873814928
61	0.5869099843
62	0.586196161
63	0.5858249835
64	0.5853491135
65	0.5847345436
66	0.584133342
67	0.5836603854
68	0.5831717578
69	0.5827697992
70	0.5824088314
71	0.5820207388
72	0.5815120556
73	0.5810121202
74	0.5806321939
75	0.5801674536
76	0.5795790951
77	0.5791016978
78	0.5787352641
79	0.5783372447
80	0.5780032421
81	0.5776180577
82	0.5771993859
83	0.5767543012
84	0.5764166489
85	0.5759927949
86	0.5756216259
87	0.5754394039
88	0.5752019316
89	0.574733828
90	0.5742336451
91	0.5737258242
92	0.5733362238
93	0.5729237058
94	0.5726262381
95	0.5723416338
96	0.5719403618
97	0.5715869357
98	0.5710855484
99	0.5705988111
100	0.5703680265
101	0.5700473774
102	0.5697375742
103	0.5693387278
104	0.5691242814
105	0.5688153727
106	0.5685248627
107	0.5681274246
108	0.5678821779
109	0.5676225759
110	0.5672621338
111	0.5670849549
112	0.5667213163
113	0.5664557089
114	0.5661295639
115	0.5657864336
116	0.5654263119
117	0.5651152066
118	0.5648087324
119	0.5645118401
120	0.5643686589
121	0.5641242461
122	0.5638251225
123	0.5636497245
124	0.5634013044
125	0.5630899248
126	0.5627849585
127	0.5624138215
128	0.5621313796
129	0.5619113195
130	0.5616415494
131	0.5614106272
132	0.5611291664
133	0.5608257766
134	0.5605309453
135	0.5602389314
136	0.559955212
137	0.5597910093
138	0.5596297139
139	0.5594379612
140	0.5591585546
141	0.558987183
142	0.5587827158
143	0.5585645125
144	0.5583281635
145	0.5581827254
146	0.5579326874
147	0.5576307658
148	0.5572653231
149	0.5570223005
150	0.5567420224
151	0.5565094597
152	0.5562741637
153	0.5559268394
154	0.5556623782
155	0.5554231092
156	0.5551696366
157	0.5550074436
158	0.5547854598
159	0.5545868119
160	0.5544157539
161	0.5540918878
162	0.5538722515
163	0.5535926682
164	0.5533221918
165	0.5529602547
166	0.5527759413
167	0.5525704894
168	0.5522245804
169	0.5521108973
170	0.5519286655
171	0.5516945289
172	0.5514357339
173	0.5512845424
174	0.5510451045
175	0.5507562236
176	0.5504857992
177	0.5501883053
178	0.5499229058
179	0.5496546124
180	0.5493908767
181	0.5492040551
182	0.5490230279
183	0.5487830127
184	0.5484852986
185	0.5484081601
186	0.5482054274
187	0.5479779293
188	0.5478352786
189	0.5477276815
190	0.5475001355
191	0.5473479212
192	0.547130588
193	0.5469610002
194	0.5467722062
195	0.5465053426
196	0.5462432606
197	0.5459255458
198	0.5457776474
199	0.5455269577
200	0.5453722774
201	0.5451278289
202	0.5448248325
203	0.5445654742
204	0.5443083598
205	0.5441128404
206	0.5439549169
207	0.5436952493
