,IsHomeTeamRegulars,AwayTeamLast1Match,TotalGoalsDifference,Difference1MatchPoints,DifferenceInShoots,DifferenceInCorners,DifferenceInLastYearPosition,HomeTeamShootsMade,HomeTeamTargetShootsMade,AwayTeamTargetShootsMade,HomeTeamCorners,FTR
2579,1.0,1.0,1.4539758273225298,0.11935493886276302,0.6934837518725803,0.803525794709797,-0.996547524346302,0.4305555555555555,0.3490990990990991,0.3141891891891892,0.6610169491525424,0.0
2580,1.0,1.0,0.18634715474149308,0.11935493886276302,-0.9142102369696952,-0.236090893049778,0.12160364577402932,0.19753086419753085,0.21621621621621626,0.14414414414414414,0.6406779661016949,0.0
2581,0.0,0.0,1.14799649256159,0.11935493886276302,-0.042240615902698384,0.3624762908117955,0.4943207024808065,0.2469135802469136,0.21621621621621626,0.10810810810810813,0.623728813559322,1.0
2582,0.0,0.0,-0.07592084648216972,0.6544253817645083,-0.4782254264361968,-1.086686364853067,0.6185597213830655,0.2962962962962963,0.25225225225225223,0.2882882882882883,0.5627118644067797,0.0
2583,0.0,1.0,-0.16334351355672394,-0.9507859469407272,-0.3964782744611659,-0.1415802850716348,-0.002635373128229737,0.34567901234567894,0.18018018018018014,0.21621621621621626,0.5084745762711864,0.0
2584,0.0,1.0,-1.430972186137761,-1.4858563898424724,-1.32294599684485,-2.441338412539786,1.4882328536988787,0.34567901234567894,0.25225225225225223,0.18018018018018014,0.42372881355932196,0.0
2585,0.0,0.3333333333333333,0.011501820592384537,1.1894958246662537,0.5163649225933465,-0.8346580769113514,0.6185597213830655,0.34567901234567894,0.32432432432432434,0.10810810810810813,0.6,1.0
2586,0.0,1.0,-0.3381888477058325,-1.4858563898424724,0.4346177706183156,0.2364621468409379,-0.002635373128229737,0.3703703703703704,0.2882882882882883,0.036036036036036036,0.5322033898305084,1.0
2587,1.0,0.3333333333333333,3.1587178352763376,-0.4157155040389821,0.8433535304934704,1.276078834600513,-1.4935035999553383,0.2716049382716049,0.18018018018018014,0.18018018018018014,0.5355932203389829,1.0
2588,0.0,1.0,-3.0482915270170152,-1.4858563898424724,-3.0123871376621567,-0.960672220882209,1.3639938347966198,0.2962962962962963,0.25225225225225223,0.25225225225225223,0.6101694915254237,0.0
