,FTR,HomeTeam,AwayTeam,HomeTeamWinStreak3,HomeTeamWinStreak5,HomeTeamLossStreak3,HomeTeamLossStreak5,AwayTeamWinStreak3,AwayTeamWinStreak5,AwayTeamLossStreak3,AwayTeamLossStreak5,IsHomeTeamRegulars,IsAwayTeamRegulars,IsHomeTeamRookie,IsAwayTeamRookie,HomeTeamWinRatio_Cat,AwayTeamWinRatio_Cat,HomeTeamPointsFromLast3Matches,AwayTeamPointsFromLast3Matches,HomeTeamPointsFromLast5Matches,AwayTeamPointsFromLast5Matches,HomeTeamPointsFromLast10Matches,AwayTeamPointsFromLast10Matches,HomeTeamLast1Match,AwayTeamLast1Match,HomeTeamLast2Match,AwayTeamLast2Match,HomeTeamLast3Match,AwayTeamLast3Match,HomeTeamLast4Match,AwayTeamLast4Match,HomeTeamLast5Match,AwayTeamLast5Match,HomeTeamLastYearPosition,AwayTeamLastYearPosition,HomeTeamGoalsDifference_Cat,AwayTeamGoalsDifference_Cat,TotalGoalsDifference_Cat,DifferenceTotalPoints_Cat,Difference10MatchesPoints_Cat,DifferenceInShoots_Cat,DifferenceInTargetShoots_Cat,DifferenceInCorners_Cat,HomeTeamTargetShootsMade_Cat,AwayTeamTargetShootsMade_Cat,HomeTeamGoalsScored_Cat,AwayTeamGoalsScored_Cat,HomeTeamGoalsLost_Cat,AwayTeamGoalsLost_Cat,HomeTeamShootsMade_Cat,AwayTeamShootsMade_Cat,HomeTeamCorners_Cat,AwayTeamCorners_Cat,HomeTeamTotalPoints_Cat,AwayTeamTotalPoints_Cat
990,0,Leeds,Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,11,5,11,0,3,3,1,1,3,0,1,1,3,15.0,13.0,3,3,4,4,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1
991,1,Liverpool,Leicester,0,0,0,0,0,0,0,0,1,0,0,1,0,5,7,4,8,5,8,5,3,3,3,0,1,1,1,0,0,1,5.0,18.0,3,3,4,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
992,0,Newcastle,Bolton,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,3,5,3,5,1,3,1,1,0,0,0,1,1,0,3.0,17.0,3,3,4,5,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
993,0,Portsmouth,Blackburn,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,1,9,5,9,5,1,0,1,1,3,0,1,1,3,3,18.0,6.0,3,3,4,5,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
994,0,Tottenham,Southampton,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,7,4,9,4,9,0,3,0,3,1,1,3,1,0,1,10.0,8.0,3,3,4,5,3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
995,0,Wolves,Chelsea,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,7,1,13,1,13,0,3,1,3,0,1,0,3,0,3,18.0,4.0,3,4,3,4,2,4,4,2,0,0,0,1,1,0,0,0,0,0,0,1
996,0,Man United,Arsenal,1,0,0,0,1,0,0,0,1,1,0,0,5,0,6,7,12,13,12,13,3,1,0,3,3,3,3,3,3,3,1.0,2.0,4,4,4,5,4,4,5,3,0,0,0,0,0,0,0,0,0,0,1,1
997,1,Middlesbrough,Everton,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,5,1,5,0,1,0,0,1,1,0,3,0,0,11.0,7.0,3,3,4,5,4,5,5,2,0,0,0,0,1,0,0,0,0,0,0,0
998,1,Arsenal,Newcastle,1,0,0,0,0,0,0,0,1,0,0,0,3,0,7,2,13,3,13,3,1,1,3,1,3,0,3,0,3,1,2.0,3.0,4,3,5,6,6,4,4,3,0,0,0,0,0,0,0,0,0,0,1,0
999,1,Birmingham,Portsmouth,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,5,11,9,11,9,3,1,1,1,3,3,1,1,3,3,13.0,18.0,3,3,4,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
